servicerequestid,servicecode,status_id,address_id,adddate,resolutiondate,serviceduedate,serviceorderdate,details,servicecallcount
23-00629737,S0196,1,4899,2023-12-04 20:00:00,2023-12-05 17:00:00,2023-12-14 20:00:00,2023-12-04 20:00:00,,1
23-00629739,COMPOSTM,1,4900,2023-12-04 20:00:00,2023-12-05 14:00:00,2023-12-07 20:00:00,2023-12-04 20:00:00,,1
23-00642915,COMPOSTM,1,4900,2023-12-12 15:00:00,2023-12-15 20:00:00,2023-12-15 15:00:00,2023-12-12 15:00:00,,1
23-00633131,S0181,3,4900,2023-12-06 14:00:00,,2023-12-26 14:00:00,2023-12-06 14:00:00,,1
23-00629742,S0261,1,4901,2023-12-04 20:00:00,2023-12-04 21:00:00,2023-12-05 20:00:00,2023-12-04 20:00:00,,1
23-00629744,S0031,1,4902,2023-12-04 20:00:00,2023-12-12 20:00:00,2023-12-13 05:00:00,2023-12-04 20:00:00,,1
23-00629745,S0031,1,4903,2023-12-04 20:00:00,2023-12-08 22:00:00,2023-12-09 05:00:00,2023-12-04 20:00:00,,1
23-00629746,S0031,1,4904,2023-12-04 20:00:00,2023-12-08 20:00:00,2023-12-09 05:00:00,2023-12-04 20:00:00,,1
23-00629747,S0261,1,4905,2023-12-04 20:00:00,2023-12-05 01:00:00,2023-12-05 20:00:00,2023-12-04 20:00:00,,1
23-00629748,S0441,1,4906,2023-12-04 20:00:00,2023-12-08 20:00:00,2023-12-06 20:00:00,2023-12-04 20:00:00,,1
23-00629752,ITISSUES,1,4908,2023-12-04 20:00:00,2023-12-11 17:00:00,2023-12-13 20:00:00,2023-12-04 20:00:00,,1
23-00629754,S0451,1,4909,2023-12-04 20:00:00,2023-12-20 14:00:00,2024-01-03 20:00:00,2023-12-04 20:00:00,,1
23-00629758,S0316,1,4909,2023-12-04 20:00:00,2023-12-20 14:00:00,2024-01-03 20:00:00,2023-12-04 20:00:00,,1
23-00629759,S0031,1,4910,2023-12-04 20:00:00,2023-12-08 22:00:00,2023-12-09 05:00:00,2023-12-04 20:00:00,,1
23-00629771,S0261,1,4912,2023-12-04 20:00:00,2023-12-04 21:00:00,2023-12-05 20:00:00,2023-12-04 20:00:00,,1
23-00629774,S0181,1,4913,2023-12-04 20:00:00,2023-12-21 21:00:00,2023-12-21 20:00:00,2023-12-04 20:00:00,,1
23-00629776,S0031,1,4914,2023-12-04 20:00:00,2023-12-11 20:00:00,2023-12-12 05:00:00,2023-12-04 20:00:00,,1
23-00629778,DOCVEH2022,1,4915,2023-12-04 20:00:00,2023-12-04 21:00:00,2023-12-06 20:00:00,2023-12-04 20:00:00,,1
23-00629779,S0441,1,4916,2023-12-04 20:00:00,2023-12-07 14:00:00,2023-12-06 20:00:00,2023-12-04 20:00:00,,1
23-00629841,S0477,1,4917,2023-12-04 21:00:00,2023-12-19 18:00:00,2023-12-20 05:00:00,2023-12-04 21:00:00,,1
23-00629843,S0181,1,4918,2023-12-04 21:00:00,2023-12-13 15:00:00,2023-12-21 21:00:00,2023-12-04 21:00:00,,1
23-00653072,S0181,3,4918,2023-12-18 18:00:00,,2024-01-08 18:00:00,2023-12-18 18:00:00,,1
23-00629849,DGSDCFLGM,1,4919,2023-12-04 21:00:00,2023-12-06 14:00:00,2024-01-13 21:00:00,2023-12-04 21:00:00,,1
23-00629850,S0217,1,4920,2023-12-04 21:00:00,2023-12-05 12:00:00,2023-12-06 21:00:00,2023-12-04 21:00:00,,1
23-00661337,S04TP,4,4920,2023-12-22 19:00:00,,2025-11-25 19:00:00,2023-12-22 19:00:00,,1
23-00629851,S05SL,1,4921,2023-12-04 21:00:00,2023-12-14 17:00:00,2023-12-13 21:00:00,2023-12-04 21:00:00,,1
23-00629856,S0000,1,4922,2023-12-04 21:00:00,2023-12-05 15:00:00,2023-12-21 21:00:00,2023-12-04 21:00:00,,1
23-00629859,S0276,1,4923,2023-12-04 21:00:00,2023-12-18 12:00:00,2023-12-11 21:00:00,2023-12-04 21:00:00,"DDOT has inspected the meter at this location. The request has been resolved and this service request is being closed. If there are new or unfinished issues, please enter a new 311 request through the https://311.dc.gov/ website. Thank you.",1
23-00648077,S0276,1,4923,2023-12-14 20:00:00,2023-12-19 00:00:00,2023-12-21 20:00:00,2023-12-14 20:00:00,,1
23-00648095,S0276,1,4923,2023-12-14 20:00:00,2023-12-19 00:00:00,2023-12-21 20:00:00,2023-12-14 20:00:00,,1
23-00648681,S0276,1,4923,2023-12-15 12:00:00,2023-12-19 00:00:00,2023-12-22 12:00:00,2023-12-15 12:00:00,,1
23-00648700,S0276,1,4923,2023-12-15 12:00:00,2023-12-19 00:00:00,2023-12-22 12:00:00,2023-12-15 12:00:00,,1
23-00648703,S0276,1,4923,2023-12-15 13:00:00,2023-12-19 00:00:00,2023-12-22 13:00:00,2023-12-15 13:00:00,,1
23-00629863,S0181,1,4925,2023-12-04 21:00:00,2023-12-08 16:00:00,2023-12-21 21:00:00,2023-12-04 21:00:00,,1
23-00642012,S0346,1,4925,2023-12-11 21:00:00,2023-12-12 14:00:00,2023-12-18 21:00:00,2023-12-11 21:00:00,,1
23-00642016,S0477,3,4925,2023-12-11 21:00:00,,2024-01-20 05:00:00,2023-12-11 21:00:00,,1
23-00629864,S0000,1,4926,2023-12-04 21:00:00,2023-12-05 15:00:00,2023-12-21 21:00:00,2023-12-04 21:00:00,,1
23-00629866,S0261,1,4927,2023-12-04 21:00:00,2023-12-04 22:00:00,2023-12-05 21:00:00,2023-12-04 21:00:00,,1
23-00629869,S0261,1,4929,2023-12-04 21:00:00,2023-12-04 22:00:00,2023-12-05 21:00:00,2023-12-04 21:00:00,,1
23-00629870,S0336,1,4930,2023-12-04 21:00:00,2023-12-05 08:00:00,2024-01-17 21:00:00,2023-12-04 21:00:00,,1
23-00632438,RPP,1,4930,2023-12-05 21:00:00,2023-12-06 02:00:00,2023-12-06 21:00:00,2023-12-05 21:00:00,,1
23-00646505,S0000,1,4930,2023-12-14 01:00:00,2023-12-19 20:00:00,2024-01-04 01:00:00,2023-12-14 01:00:00,,1
23-00629873,S0031,1,4931,2023-12-04 21:00:00,2023-12-08 22:00:00,2023-12-09 05:00:00,2023-12-04 21:00:00,,1
23-00636984,S0031,1,4931,2023-12-08 01:00:00,2023-12-12 16:00:00,2023-12-15 05:00:00,2023-12-08 01:00:00,,1
23-00629875,S0441,1,4932,2023-12-04 21:00:00,2023-12-06 18:00:00,2023-12-06 21:00:00,2023-12-04 21:00:00,,1
23-00635618,S0441,1,4932,2023-12-07 15:00:00,2023-12-11 18:00:00,2023-12-11 15:00:00,2023-12-07 15:00:00,,1
23-00629877,S0196,1,4933,2023-12-04 21:00:00,2023-12-05 15:00:00,2023-12-14 21:00:00,2023-12-04 21:00:00,,1
23-00629879,S0457,1,4934,2023-12-04 21:00:00,2023-12-05 15:00:00,2023-12-11 21:00:00,2023-12-04 21:00:00,,1
23-00629882,S0031,1,4935,2023-12-04 21:00:00,2023-12-11 20:00:00,2023-12-12 00:00:00,2023-12-04 21:00:00,,1
23-00641840,S0477,3,4935,2023-12-11 20:00:00,,2024-01-20 05:00:00,2023-12-11 20:00:00,,1
23-00629889,S0276,1,4936,2023-12-04 21:00:00,2023-12-04 21:00:00,2023-12-11 21:00:00,2023-12-04 21:00:00,,1
23-00629890,S0301,1,4937,2023-12-04 21:00:00,2023-12-07 20:00:00,2023-12-07 21:00:00,2023-12-04 21:00:00,,1
23-00629891,S0031,1,4938,2023-12-04 21:00:00,2023-12-12 18:00:00,2023-12-13 05:00:00,2023-12-04 21:00:00,,1
23-00629895,DMV19,1,4939,2023-12-04 21:00:00,2023-12-11 17:00:00,2023-12-13 21:00:00,2023-12-04 21:00:00,,1
23-00630096,S0031,1,4940,2023-12-04 23:00:00,2023-12-11 16:00:00,2023-12-12 05:00:00,2023-12-04 23:00:00,,1
23-00630098,S0321,1,4941,2023-12-04 23:00:00,2023-12-07 20:00:00,2023-12-06 23:00:00,2023-12-04 23:00:00,,1
23-00630101,S0196,1,4942,2023-12-04 23:00:00,2023-12-05 17:00:00,2023-12-14 23:00:00,2023-12-04 23:00:00,,1
23-00630102,S0261,1,4943,2023-12-04 23:00:00,2023-12-05 00:00:00,2023-12-05 23:00:00,2023-12-04 23:00:00,,1
23-00630104,S0321,1,4233,2023-12-04 23:00:00,2023-12-07 20:00:00,2023-12-06 23:00:00,2023-12-04 23:00:00,,1
23-00628244,S0451,3,4233,2023-12-04 14:00:00,,2024-01-03 14:00:00,2023-12-04 14:00:00,,1
23-00630106,S0031,1,4944,2023-12-04 23:00:00,2023-12-12 20:00:00,2023-12-13 05:00:00,2023-12-04 23:00:00,,1
23-00630108,S0000,1,4946,2023-12-04 23:00:00,2023-12-19 16:00:00,2023-12-21 23:00:00,2023-12-04 23:00:00,,1
23-00645615,S0000,1,4946,2023-12-13 18:00:00,2023-12-19 16:00:00,2024-01-03 18:00:00,2023-12-13 18:00:00,,1
23-00630109,S0031,1,4947,2023-12-04 23:00:00,2023-12-12 20:00:00,2023-12-13 00:00:00,2023-12-04 23:00:00,,1
23-00630110,DMV01,1,4948,2023-12-04 23:00:00,2023-12-12 21:00:00,2023-12-13 23:00:00,2023-12-04 23:00:00,,1
23-00630112,RPP,1,4949,2023-12-04 23:00:00,2023-12-04 23:00:00,2023-12-05 23:00:00,2023-12-04 23:00:00,,1
23-00644456,RPP,1,4949,2023-12-13 00:00:00,2023-12-13 01:00:00,2023-12-14 00:00:00,2023-12-13 00:00:00,,1
23-00633548,RPP,2,4949,2023-12-06 15:00:00,2023-12-06 19:00:00,2023-12-07 15:00:00,2023-12-06 15:00:00,,1
23-00630113,S0000,1,4950,2023-12-04 23:00:00,2023-12-18 15:00:00,2023-12-21 23:00:00,2023-12-04 23:00:00,,1
23-00630114,S0261,1,4951,2023-12-04 23:00:00,2023-12-05 00:00:00,2023-12-05 23:00:00,2023-12-04 23:00:00,,1
23-00637027,S0261,1,4951,2023-12-08 02:00:00,2023-12-08 03:00:00,2023-12-09 02:00:00,2023-12-08 02:00:00,,1
23-00637812,S0261,1,4951,2023-12-08 16:00:00,2023-12-08 17:00:00,2023-12-11 16:00:00,2023-12-08 16:00:00,,1
23-00639331,S0261,1,4951,2023-12-09 19:00:00,2023-12-09 21:00:00,2023-12-11 19:00:00,2023-12-09 19:00:00,,1
23-00668188,S0261,1,4951,2023-12-29 03:00:00,2023-12-29 04:00:00,2023-12-30 03:00:00,2023-12-29 03:00:00,,1
23-00630115,S0031,1,4952,2023-12-04 23:00:00,2023-12-11 14:00:00,2023-12-12 05:00:00,2023-12-04 23:00:00,,1
23-00653702,S0261,1,4952,2023-12-18 21:00:00,2023-12-18 21:00:00,2023-12-19 21:00:00,2023-12-18 21:00:00,,1
23-00665106,S0031,3,4952,2023-12-27 16:00:00,,2024-01-06 00:00:00,2023-12-27 16:00:00,,1
23-00630116,S0181,1,4953,2023-12-04 23:00:00,2023-12-11 14:00:00,2023-12-21 23:00:00,2023-12-04 23:00:00,,1
23-00630117,S0031,1,4954,2023-12-04 23:00:00,2023-12-11 16:00:00,2023-12-12 05:00:00,2023-12-04 23:00:00,,1
23-00630118,S0311,1,4955,2023-12-04 23:00:00,2023-12-05 20:00:00,2023-12-11 23:00:00,2023-12-04 23:00:00,,1
23-00648486,S0477,3,4955,2023-12-15 01:00:00,,2024-01-18 00:00:00,2023-12-15 01:00:00,,1
23-00630119,S0031,1,4956,2023-12-04 23:00:00,2023-12-12 16:00:00,2023-12-13 05:00:00,2023-12-04 23:00:00,,1
23-00642292,S0031,1,4956,2023-12-12 01:00:00,2023-12-14 16:00:00,2023-12-19 05:00:00,2023-12-12 01:00:00,,1
23-00630121,S0031,1,4957,2023-12-04 23:00:00,2023-12-07 20:00:00,2023-12-08 05:00:00,2023-12-04 23:00:00,,1
23-00639379,S0031,1,4957,2023-12-09 20:00:00,2023-12-13 20:00:00,2023-12-14 05:00:00,2023-12-09 20:00:00,,1
23-00630125,S0346,1,4958,2023-12-04 23:00:00,2023-12-11 13:00:00,2023-12-11 23:00:00,2023-12-04 23:00:00,,1
23-00630129,S0311,1,4958,2023-12-04 23:00:00,2023-12-08 19:00:00,2023-12-11 23:00:00,2023-12-04 23:00:00,,1
23-00632278,S0311,1,4958,2023-12-05 20:00:00,2023-12-08 19:00:00,2023-12-12 20:00:00,2023-12-05 20:00:00,,1
23-00638736,S0311,1,4958,2023-12-08 23:00:00,2023-12-11 20:00:00,2023-12-15 23:00:00,2023-12-08 23:00:00,,1
23-00630126,S0031,1,4959,2023-12-04 23:00:00,2023-12-12 20:00:00,2023-12-13 05:00:00,2023-12-04 23:00:00,,1
23-00630127,S0477,1,4960,2023-12-04 23:00:00,2023-12-07 18:00:00,2023-12-08 00:00:00,2023-12-04 23:00:00,,1
23-00640793,S0477,1,4960,2023-12-11 15:00:00,2023-12-14 18:00:00,2023-12-15 00:00:00,2023-12-11 15:00:00,,1
23-00630130,RPP,1,4962,2023-12-04 23:00:00,2023-12-05 01:00:00,2023-12-05 23:00:00,2023-12-04 23:00:00,,1
23-00633060,RPP,1,4962,2023-12-06 13:00:00,2023-12-06 17:00:00,2023-12-07 13:00:00,2023-12-06 13:00:00,,1
23-00639441,RPP,1,4962,2023-12-09 21:00:00,2023-12-09 23:00:00,2023-12-11 21:00:00,2023-12-09 21:00:00,,1
23-00641269,RPP,1,4962,2023-12-11 17:00:00,2023-12-11 19:00:00,2023-12-12 17:00:00,2023-12-11 17:00:00,,1
23-00648536,S0336,1,4962,2023-12-15 02:00:00,2023-12-15 07:00:00,2024-01-30 02:00:00,2023-12-15 02:00:00,,1
23-00630150,S0276,1,4963,2023-12-05 00:00:00,2023-12-18 12:00:00,2023-12-12 00:00:00,2023-12-05 00:00:00,"DDOT has inspected the meter at this location. The request has been resolved and this service request is being closed. If there are new or unfinished issues, please enter a new 311 request through the https://311.dc.gov/ website. Thank you.",1
23-00629816,VACPROP,1,4965,2023-12-04 21:00:00,2023-12-05 20:00:00,2024-04-29 21:00:00,2023-12-04 21:00:00,,1
23-00629824,S0181,3,4965,2023-12-04 21:00:00,,2023-12-21 21:00:00,2023-12-04 21:00:00,,1
23-00648532,S0181,3,4965,2023-12-15 02:00:00,,2024-01-05 02:00:00,2023-12-15 02:00:00,,1
23-00664313,S0031,3,4965,2023-12-26 23:00:00,,2024-01-05 00:00:00,2023-12-26 23:00:00,,1
23-00666338,S0031,8,4965,2023-12-28 04:00:00,,2024-01-05 05:00:00,2023-12-28 04:00:00,,1
23-00629817,S0361,1,4966,2023-12-04 21:00:00,2023-12-18 15:00:00,2024-12-18 21:00:00,2023-12-04 21:00:00,,1
23-00629818,S0031,1,4967,2023-12-04 21:00:00,2023-12-11 14:00:00,2023-12-12 05:00:00,2023-12-04 21:00:00,,1
23-00644419,S0031,1,4967,2023-12-12 23:00:00,2023-12-15 14:00:00,2023-12-16 05:00:00,2023-12-12 23:00:00,,1
23-00655020,S0031,1,4967,2023-12-19 16:00:00,2023-12-28 22:00:00,2023-12-29 05:00:00,2023-12-19 16:00:00,,1
23-00669093,S0031,3,4967,2023-12-29 18:00:00,,2024-01-06 05:00:00,2023-12-29 18:00:00,,1
23-00629826,S0031,1,4968,2023-12-04 21:00:00,2023-12-12 14:00:00,2023-12-13 05:00:00,2023-12-04 21:00:00,,1
23-00629827,S0031,1,4969,2023-12-04 21:00:00,2023-12-12 18:00:00,2023-12-13 05:00:00,2023-12-04 21:00:00,,1
23-00647285,S0031,1,4969,2023-12-14 16:00:00,2023-12-18 20:00:00,2023-12-19 05:00:00,2023-12-14 16:00:00,,1
23-00650436,S0346,1,4969,2023-12-16 01:00:00,2023-12-18 14:00:00,2023-12-23 01:00:00,2023-12-16 01:00:00,,1
23-00629832,S0316,1,4971,2023-12-04 21:00:00,2023-12-27 18:00:00,2024-01-03 21:00:00,2023-12-04 21:00:00,,1
23-00629834,S0031,1,4972,2023-12-04 21:00:00,2023-12-08 22:00:00,2023-12-09 05:00:00,2023-12-04 21:00:00,,1
23-00639430,S0031,1,4972,2023-12-09 21:00:00,2023-12-14 20:00:00,2023-12-15 05:00:00,2023-12-09 21:00:00,,1
23-00648676,S0031,1,4972,2023-12-15 12:00:00,2023-12-20 18:00:00,2023-12-21 05:00:00,2023-12-15 12:00:00,,1
23-00657958,S0031,1,4972,2023-12-20 20:00:00,2023-12-28 00:00:00,2023-12-28 05:00:00,2023-12-20 20:00:00,,1
23-00629837,S0031,1,4973,2023-12-04 21:00:00,2023-12-07 16:00:00,2023-12-08 05:00:00,2023-12-04 21:00:00,,1
23-00650203,S0181,3,4973,2023-12-15 21:00:00,,2024-01-05 21:00:00,2023-12-15 21:00:00,,1
23-00629840,S0031,1,4974,2023-12-04 21:00:00,2023-12-08 16:00:00,2023-12-09 05:00:00,2023-12-04 21:00:00,,1
23-00662573,S0031,1,4974,2023-12-24 21:00:00,2023-12-27 16:00:00,2023-12-28 05:00:00,2023-12-24 21:00:00,,1
23-00629896,11,1,4975,2023-12-04 21:00:00,2023-12-06 14:00:00,2023-12-06 21:00:00,2023-12-04 21:00:00,,1
23-00669171,S0031,3,4975,2023-12-29 18:00:00,,2024-01-05 00:00:00,2023-12-29 18:00:00,,1
23-00629897,S0000,1,4976,2023-12-04 21:00:00,2023-12-08 17:00:00,2023-12-21 21:00:00,2023-12-04 21:00:00,,1
23-00640293,DGSGMSM,1,4976,2023-12-11 13:00:00,2023-12-11 15:00:00,2024-01-11 13:00:00,2023-12-11 13:00:00,,1
23-00640286,S0346,1,4976,2023-12-11 13:00:00,2023-12-18 15:00:00,2023-12-18 13:00:00,2023-12-11 13:00:00,,1
23-00629899,S0181,1,4977,2023-12-04 21:00:00,2023-12-08 16:00:00,2023-12-21 21:00:00,2023-12-04 21:00:00,,1
23-00629901,S0196,1,4978,2023-12-04 21:00:00,2023-12-05 15:00:00,2023-12-14 21:00:00,2023-12-04 21:00:00,,1
23-00629903,S0196,1,4979,2023-12-04 21:00:00,2023-12-05 19:00:00,2023-12-14 21:00:00,2023-12-04 21:00:00,,1
23-00629913,COMPOSTM,1,4981,2023-12-04 21:00:00,2023-12-06 22:00:00,2023-12-07 21:00:00,2023-12-04 21:00:00,,1
23-00629916,S0031,1,4982,2023-12-04 21:00:00,2023-12-07 16:00:00,2023-12-08 05:00:00,2023-12-04 21:00:00,,1
23-00629923,S0466,1,4984,2023-12-04 21:00:00,2023-12-11 17:00:00,2024-02-28 21:00:00,2023-12-04 21:00:00,,1
23-00629925,S0441,1,4985,2023-12-04 21:00:00,2023-12-06 22:00:00,2023-12-06 21:00:00,2023-12-04 21:00:00,,1
23-00629928,PETWASTECOMP,1,4987,2023-12-04 21:00:00,2023-12-04 21:00:00,2023-12-05 21:00:00,2023-12-04 21:00:00,,1
23-00629929,S0031,1,4988,2023-12-04 21:00:00,2023-12-07 22:00:00,2023-12-08 00:00:00,2023-12-04 21:00:00,,1
23-00661619,S0031,1,4988,2023-12-22 21:00:00,2023-12-27 00:00:00,2023-12-27 00:00:00,2023-12-22 21:00:00,,1
23-00636627,S0031,2,4988,2023-12-07 20:00:00,2023-12-07 22:00:00,2023-12-14 00:00:00,2023-12-07 20:00:00,,1
23-00629932,S0031,1,4989,2023-12-04 21:00:00,2023-12-08 22:00:00,2023-12-09 05:00:00,2023-12-04 21:00:00,,1
23-00629934,S0261,1,4990,2023-12-04 21:00:00,2023-12-04 22:00:00,2023-12-05 21:00:00,2023-12-04 21:00:00,,1
23-00642112,S0261,1,4990,2023-12-11 22:00:00,2023-12-11 23:00:00,2023-12-12 22:00:00,2023-12-11 22:00:00,,1
23-00650280,S0261,1,4990,2023-12-15 22:00:00,2023-12-15 23:00:00,2023-12-18 22:00:00,2023-12-15 22:00:00,,1
23-00656047,S0261,1,4990,2023-12-19 21:00:00,2023-12-19 23:00:00,2023-12-20 21:00:00,2023-12-19 21:00:00,,1
23-00664284,S0261,1,4990,2023-12-26 22:00:00,2023-12-26 23:00:00,2023-12-27 22:00:00,2023-12-26 22:00:00,,1
23-00629935,S0422,1,4991,2023-12-04 21:00:00,2023-12-20 14:00:00,2024-01-03 21:00:00,2023-12-04 21:00:00,,1
23-00629939,S0321,1,4992,2023-12-04 21:00:00,2023-12-11 14:00:00,2023-12-06 21:00:00,2023-12-04 21:00:00,,1
23-00640136,S0321,1,4992,2023-12-11 02:00:00,2023-12-11 22:00:00,2023-12-13 02:00:00,2023-12-11 02:00:00,,1
23-00654123,S0321,1,4992,2023-12-19 01:00:00,2023-12-22 14:00:00,2023-12-21 01:00:00,2023-12-19 01:00:00,,1
23-00660598,S0321,3,4992,2023-12-22 14:00:00,,2023-12-27 14:00:00,2023-12-22 14:00:00,,1
23-00629940,S0031,1,4993,2023-12-04 21:00:00,2023-12-07 18:00:00,2023-12-08 05:00:00,2023-12-04 21:00:00,,1
23-00629941,S0311,1,4994,2023-12-04 21:00:00,2023-12-05 20:00:00,2023-12-11 21:00:00,2023-12-04 21:00:00,,1
23-00629946,S0321,1,4945,2023-12-04 21:00:00,2023-12-07 20:00:00,2023-12-06 21:00:00,2023-12-04 21:00:00,,1
23-00643002,S0321,1,4945,2023-12-12 15:00:00,2023-12-14 22:00:00,2023-12-14 15:00:00,2023-12-12 15:00:00,,1
23-00648493,S0321,1,4945,2023-12-15 01:00:00,2023-12-15 18:00:00,2023-12-19 01:00:00,2023-12-15 01:00:00,,1
23-00630107,S0316,3,4945,2023-12-04 23:00:00,,2024-01-03 23:00:00,2023-12-04 23:00:00,,1
23-00643012,RECCONRE,3,4945,2023-12-12 15:00:00,,2024-01-11 15:00:00,2023-12-12 15:00:00,,1
23-00629947,S0311,1,4996,2023-12-04 21:00:00,2023-12-05 17:00:00,2023-12-11 21:00:00,2023-12-04 21:00:00,,1
23-00632586,S0031,1,4996,2023-12-05 22:00:00,2023-12-11 16:00:00,2023-12-12 05:00:00,2023-12-05 22:00:00,,1
23-00640313,S0031,1,4996,2023-12-11 13:00:00,2023-12-15 16:00:00,2023-12-16 00:00:00,2023-12-11 13:00:00,,1
23-00652433,S0031,1,4996,2023-12-18 15:00:00,2023-12-21 14:00:00,2023-12-22 00:00:00,2023-12-18 15:00:00,,1
23-00629951,S0311,1,4997,2023-12-04 21:00:00,2023-12-05 16:00:00,2023-12-11 21:00:00,2023-12-04 21:00:00,,1
23-00631792,S0311,1,4997,2023-12-05 18:00:00,2023-12-07 15:00:00,2023-12-12 18:00:00,2023-12-05 18:00:00,,1
23-00629956,S0261,1,5000,2023-12-04 21:00:00,2023-12-04 23:00:00,2023-12-05 21:00:00,2023-12-04 21:00:00,,1
23-00629957,S0031,1,5001,2023-12-04 21:00:00,2023-12-08 14:00:00,2023-12-09 05:00:00,2023-12-04 21:00:00,,1
23-00629964,S0441,1,5002,2023-12-04 21:00:00,2023-12-06 18:00:00,2023-12-06 21:00:00,2023-12-04 21:00:00,,1
23-00634267,S0441,1,5002,2023-12-06 19:00:00,2023-12-07 20:00:00,2023-12-08 19:00:00,2023-12-06 19:00:00,,1
23-00629966,S0031,1,5004,2023-12-04 21:00:00,2023-12-08 16:00:00,2023-12-09 05:00:00,2023-12-04 21:00:00,,1
23-00663691,S0031,3,5004,2023-12-26 18:00:00,,2024-01-05 05:00:00,2023-12-26 18:00:00,,1
23-00629969,S0311,1,5005,2023-12-04 21:00:00,2023-12-05 20:00:00,2023-12-11 21:00:00,2023-12-04 21:00:00,,1
23-00629970,S0031,1,5006,2023-12-04 21:00:00,2023-12-08 20:00:00,2023-12-09 05:00:00,2023-12-04 21:00:00,,1
23-00629974,S0031,1,5007,2023-12-04 21:00:00,2023-12-11 14:00:00,2023-12-12 00:00:00,2023-12-04 21:00:00,,1
23-00629983,S05SL,1,5010,2023-12-04 22:00:00,2023-12-13 00:00:00,2023-12-13 22:00:00,2023-12-04 22:00:00,,1
23-00629990,S0031,1,5012,2023-12-04 22:00:00,2023-12-11 20:00:00,2023-12-12 05:00:00,2023-12-04 22:00:00,,1
23-00629991,S0031,1,5013,2023-12-04 22:00:00,2023-12-07 20:00:00,2023-12-08 05:00:00,2023-12-04 22:00:00,,1
23-00629992,11,1,5014,2023-12-04 22:00:00,2023-12-06 14:00:00,2023-12-06 22:00:00,2023-12-04 22:00:00,,1
23-00629993,S0031,1,5015,2023-12-04 22:00:00,2023-12-12 16:00:00,2023-12-13 05:00:00,2023-12-04 22:00:00,,1
23-00629994,S05SL,1,5016,2023-12-04 22:00:00,2023-12-14 20:00:00,2023-12-13 22:00:00,2023-12-04 22:00:00,,1
23-00630002,S04TP,1,5016,2023-12-04 22:00:00,2023-12-05 16:00:00,2025-11-05 22:00:00,2023-12-04 22:00:00,,1
23-00629997,S0031,1,5017,2023-12-04 22:00:00,2023-12-08 16:00:00,2023-12-09 05:00:00,2023-12-04 22:00:00,,1
23-00630000,S0031,1,5018,2023-12-04 22:00:00,2023-12-07 20:00:00,2023-12-08 05:00:00,2023-12-04 22:00:00,,1
23-00630004,S0031,1,5019,2023-12-04 22:00:00,2023-12-12 14:00:00,2023-12-13 05:00:00,2023-12-04 22:00:00,,1
23-00630005,S0441,1,5020,2023-12-04 22:00:00,2023-12-06 18:00:00,2023-12-06 22:00:00,2023-12-04 22:00:00,,1
23-00630006,S04TP,1,5021,2023-12-04 22:00:00,2023-12-05 16:00:00,2025-11-05 22:00:00,2023-12-04 22:00:00,,1
23-00630008,S0261,1,5022,2023-12-04 22:00:00,2023-12-04 22:00:00,2023-12-05 22:00:00,2023-12-04 22:00:00,,1
23-00630009,S0321,1,5023,2023-12-04 22:00:00,2023-12-07 20:00:00,2023-12-06 22:00:00,2023-12-04 22:00:00,,1
23-00665280,S0031,3,5023,2023-12-27 17:00:00,,2024-01-06 05:00:00,2023-12-27 17:00:00,,1
23-00630012,S0261,1,5024,2023-12-04 22:00:00,2023-12-05 00:00:00,2023-12-05 22:00:00,2023-12-04 22:00:00,,1
23-00630013,S0261,1,5025,2023-12-04 22:00:00,2023-12-05 00:00:00,2023-12-05 22:00:00,2023-12-04 22:00:00,,1
23-00630014,S0181,1,5026,2023-12-04 22:00:00,2023-12-21 16:00:00,2023-12-21 22:00:00,2023-12-04 22:00:00,,1
23-00661374,S0031,1,5026,2023-12-22 19:00:00,2023-12-26 20:00:00,2023-12-27 05:00:00,2023-12-22 19:00:00,,1
23-00661366,S0346,3,5026,2023-12-22 19:00:00,,2024-01-02 19:00:00,2023-12-22 19:00:00,,1
23-00630015,DMV01,1,5027,2023-12-04 22:00:00,2023-12-12 18:00:00,2023-12-13 22:00:00,2023-12-04 22:00:00,,1
23-00630017,DMV01,1,5028,2023-12-04 22:00:00,2023-12-12 21:00:00,2023-12-13 22:00:00,2023-12-04 22:00:00,,1
23-00656199,S0261,1,5028,2023-12-20 00:00:00,2023-12-20 02:00:00,2023-12-21 00:00:00,2023-12-20 00:00:00,,1
23-00630020,S0196,1,5029,2023-12-04 22:00:00,2023-12-05 16:00:00,2023-12-14 22:00:00,2023-12-04 22:00:00,,1
23-00630022,S0346,1,2483,2023-12-04 22:00:00,2023-12-05 15:00:00,2023-12-11 22:00:00,2023-12-04 22:00:00,,1
23-00624767,SIGNMISS_v2,4,2483,2023-12-01 15:00:00,,2024-06-04 15:00:00,2023-12-01 15:00:00,,1
23-00630027,S0311,1,5032,2023-12-04 22:00:00,2023-12-05 19:00:00,2023-12-11 22:00:00,2023-12-04 22:00:00,,1
23-00639248,S0311,1,5032,2023-12-09 18:00:00,2023-12-11 11:00:00,2023-12-15 18:00:00,2023-12-09 18:00:00,,1
23-00654336,S0311,1,5032,2023-12-19 13:00:00,2023-12-19 15:00:00,2023-12-27 13:00:00,2023-12-19 13:00:00,,1
23-00630028,S0031,1,5033,2023-12-04 22:00:00,2023-12-08 22:00:00,2023-12-09 05:00:00,2023-12-04 22:00:00,,1
